0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.45851716,-1.4312248,1.2413821,-0.980155,0.78752106,-0.15365355,2.148019,1.1697476,-1.1656514,-0.44159,0.095103815,1.1902514,-0.44115487,3.4221082,-0.20895325,-0.9731476,0.86137736,0.011162847,-1.36996,2.890703,-1.1082541,-2.4505255,-2.0970917,-0.3852565,1.0259835,0.037287895,4.0584464,-2.0515597,1.7525505,0.54024416,-2.008476,1.3242314
-0.72454906,-1.884151,0.41275653,-0.24481453,1.3080759,-0.74416184,-0.50239265,2.1597924,-0.22727808,-1.2803681,0.28469098,1.1581742,0.3607062,3.4264195,-0.69586337,-2.0524974,-1.4186186,-0.4975654,-0.3306675,0.88980347,0.36545518,-2.8644843,-2.4628847,1.4850973,1.4554331,-1.5723006,2.6072009,-1.9853365,2.5210233,-0.35637805,-3.2071447,2.3099878
-1.3327701,-1.8909318,2.004498,-0.6774123,-0.18332979,-0.17617038,0.6950092,0.99893135,-1.5695108,-1.2579215,2.9515634,1.9196384,-0.35163108,4.0847607,-0.36135262,-1.0858123,-0.4939825,-1.8971577,0.14597844,2.291,-0.49744648,-1.613423,-3.1656587,1.8977647,2.8583908,0.22148308,0.89901876,-1.9211893,0.5101916,-1.1204696,-2.8800728,0.4899809
-0.098565556,-1.0617551,0.37049207,0.5927204,1.111727,-1.6359369,-0.21108049,0.6598156,-0.82686496,-0.943146,0.25993246,1.5322747,-0.67568326,2.6837387,0.6954866,-1.203012,-0.6024338,-0.81436765,-1.3010392,1.5143399,0.1424095,-2.4726007,-1.3314276,0.85266113,0.69340414,-0.76817185,2.531498,-1.125169,1.2907857,-0.6545781,-2.521244,1.9800316
0.11425077,-1.0592417,1.8886489,2.538682,-0.05939348,1.7962579,0.67436737,1.3230406,-1.8378723,-3.051007,0.29388273,-0.21401167,0.6276,5.1257086,0.95534045,-2.661527,-0.11069911,-0.8593407,-1.0378035,-0.25107,-2.5474865,1.6671706,-2.0203884,3.2479043,-0.85083544,0.6353135,0.34067798,-0.36718893,2.6407495,-0.65351844,-1.0121471,1.0302039
-1.1643243,-1.9120497,0.40073466,-0.14076981,0.36783683,-1.5989678,0.9621792,1.5963117,-1.9232337,-1.7103872,0.43156677,1.8823357,-0.9803136,4.7525487,-0.09906374,-2.2182395,-0.61041987,-0.5769414,-1.6262839,1.9844016,-1.457997,-2.1731658,-2.5461993,2.239519,1.5072949,-0.44115862,3.7673664,-3.490996,1.9548389,-0.82986397,-3.271892,3.2403054
1.8133373,0.47977373,1.3818747,3.746007,-0.36051768,3.1247,0.10757461,1.5507838,-1.8528636,-5.0262985,-1.5979375,-1.2908665,1.5104959,6.2028303,0.8057993,-5.2801166,-0.3218688,-0.3829252,-0.6696264,-1.4421164,-3.8774586,4.3741174,-2.7970622,3.8392997,-2.6301575,0.9972716,1.0490111,-1.3045008,2.0656607,1.5382409,-0.8865689,1.5744184
-0.42876148,-2.5159142,0.85749924,-0.35347664,1.1234238,-3.1355894,0.016101353,1.5539099,-0.96732163,-1.9827514,0.09778677,1.8811454,0.10078139,5.6317267,-0.35985804,-2.963631,-1.7376349,-0.8195151,-0.55763054,2.079873,-0.72395366,-3.006279,-3.5143604,1.4173652,0.39123172,-2.0973334,4.262627,-2.5304093,2.8833716,-1.2598299,-4.2151484,3.5153022
-1.6986235,-2.178341,1.0055927,-0.11142269,0.22706714,-0.059803944,0.13340616,0.034706738,-1.3349037,-0.6441214,1.169162,1.6583962,-0.9726837,2.4428253,-0.4487899,-0.31614673,-0.5543498,-0.880876,-0.17822126,1.2604965,-0.20523849,-2.1548545,-1.7737361,1.3825136,2.1551723,0.24176475,1.608425,-0.7943331,1.2878385,-1.1916281,-1.7079442,0.8422351
-1.4285008,-1.2173785,0.52416897,-0.017277204,0.06803187,-1.1433157,0.43477768,-0.41795227,-1.5697867,-0.4259199,0.090270296,1.3778242,-1.3661922,2.5227332,-0.10169347,-0.3276872,-0.078941435,-0.5064053,-0.4639845,1.2373667,-0.6626177,-1.1111915,-2.0123513,0.8547009,1.1131318,0.47860822,1.8985236,-2.0084822,0.17383885,-0.7178336,-2.092918,1.1422651
